date,name,price
2013-02-11,AAL,15.01
2013-02-11,AAL,14.26
2013-02-13,AAL,14.94
2013-02-13,AAL,14.25
2013-02-11,AAP,78.91
2013-02-11,AAP,77.23
2013-02-13,AAP,79.13
2013-02-13,AAP,77.85
2013-02-11,AVY,39.7
2013-02-11,AVY,39.2
2013-02-13,AVY,39.86
2013-02-13,AVY,39.43
